fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231110 195719	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1356	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0431806776449492	0.998747677215733	236	20659	11829	148791142.928536	24
20231110 200101	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	69	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0206097478562329	0.998549937162123	173	19586	11497	138274323.338331	25
20231110 200610	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	519	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0631276282083711	0.998746594732278	286	18651	13798	145920726.636682	26
20231110 201116	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	568	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.091253419283868	0.99710190378816	237	22134	12121	144555138.930535	27
20231110 201553	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	375	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.113237783117291	0.999877020435229	192	15947	12700	144078050.974513	28
20231110 202528	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1143	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.04691123161133	0.678077836479131	269	20411	13529	146159688.655672	29
20231110 203440	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1242	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0515119018582852	0.999662347607838	64	21013	12973	147219364.817591	30
20231110 204120	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	733	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0617590105907403	0.995738821504211	479	20564	13055	149395829.585207	31
20231110 204410	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	24	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0445127498920274	0.980249827027804	742	20855	12697	132270625.187406	32
20231110 205135	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	897	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.047593609671568	0.998677519754358	420	20727	12073	147544492.253873	33
20231110 205656	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	448	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0607163649824405	0.98886324334483	486	13970	14394	143842779.610195	34
20231110 210434	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	986	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0517519565006175	0.998323377971002	225	24453	14789	144803416.791604	35
20231110 211029	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	631	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0699338867486854	0.77310023365999	469	20693	12981	143565063.968016	36
20231110 211920	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1111	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0448318565791382	0.925544094392324	143	17427	13599	146319383.808096	37
20231110 212212	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0431805377723377	0.999455539803303	481	22316	11744	133543964.017991	38
20231110 212600	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	341	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.231564634596269	0.699407629624085	879	30271	14234	143091775.112444	39
20231110 212852	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.125930399200693	0.213202784186352	62	44382	16192	117026454.772614	40
20231110 213130	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0618283969163767	0.99204100738054	269	20535	13189	134480778.110945	41
20231110 213420	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0346716914121974	0.763763844154565	845	39980	13969	133104776.111944	42
